Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
138,Eglinton East,3464.172813,789
047,Don Valley Village,1829.876899,495
038,Lansing-Westgate,1336.302895,216
009,Edenbridge-Humber Valley,2471.837786,384
044,Flemingdon Park,3720.421283,816
059,Danforth East York,1222.351572,210
129,Agincourt North,2109.02346,614
099,Mount Pleasant East,846.4977645,142
137,Woburn,3791.717304,2028
102,Forest Hill North,2045.915977,262
111,Rockcliffe-Smythe,3205.070574,713
130,Milliken,2009.634201,534
055,Thorncliffe Park,4368.012128,922
007,Willowridge-Martingrove-Richview,2735.150749,606
060,Woodbine-Lumsden,1068.022886,84
012,Markland Wood,1317.036195,139
010,Princess-Rosethorn,1502.126504,166
015,Kingsway South,1391.43566,129
114,Lambton Baby Point,1214.777708,97
133,Centennial Scarborough,2342.463703,313
075,Church-Yonge Corridor,1620.931717,508
026,Downsview-Roding-CFB,5232.226406,1834
061,Taylor-Massey,2588.79041,406
124,Kennedy Park,3177.013374,544
100,Yonge-Eglinton,981.6366252,116
120,Clairlea-Birchmount,3183.367922,859
090,Junction Area,1781.985243,256
115,Mount Dennis,4333.112632,589
032,Englemount-Lawrence,4568.210263,1022
077,Waterfront Communities-The Island,1530.805759,1009
074,North St. James Town,3002.954607,559
070,South Riverdale,1033.146793,288
106,Humewood-Cedarvale,1454.925165,209
093,Dovercourt-Wallace Emerson-Junction,1722.866894,631
042,Banbury-Don Mills,1346.813504,373
097,Yonge-St.Clair,941.890166,118
053,Henry Farm,2474.082554,389
104,Mount Pleasant West,1864.589655,553
008,Humber Heights-Westmount,3397.880891,372
089,Runnymede-Bloor West Village,645.4816286,65
085,South Parkdale,3002.42574,656
140,Guildwood,2964.606232,294
118,Tam O'Shanter-Sullivan,2313.634045,635
036,Newtonbrook West,3659.099492,872
084,Little Portugal,2217.366155,345
049,Bayview Woods-Steeles,2151.436825,283
082,Niagara,1417.575369,442
014,Islington-City Centre West,2522.461049,1109
123,Cliffcrest,2453.71823,391
117,L'Amoreaux,2336.73539,1028
122,Birchcliffe-Cliffside,2651.294244,591
081,Trinity-Bellwoods,1304.662962,216
011,Eringate-Centennial-West Deane,1689.261889,314
005,Elms-Old Rexdale,3955.160745,374
051,Willowdale East,854.5822263,431
087,High Park-Swansea,1538.140021,368
068,North Riverdale,939.9127224,112
071,Cabbagetown-South St. James Town,2245.265233,262
083,Dufferin Grove,1832.838354,216
030,Brookhaven-Amesbury,3919.58101,696
024,Black Creek,6095.597369,1325
020,Alderwood,1800.232288,217
004,Rexdale-Kipling,3903.504606,411
125,Ionview,1898.687779,259
110,Keelesdale-Eglinton West,2839.57316,314
002,Mount Olive-Silverstone-Jamestown,6463.555259,2130
052,Bayview Village,1051.59843,225
072,Regent Park,2119.781542,229
080,Palmerston-Little Italy,998.119485,138
116,Steeles,2834.748,698
016,Stonegate-Queensway,1285.377829,322
135,Morningside,3678.029218,642
098,Rosedale-Moore Park,831.6207045,174
136,West Hill,2522.634346,691
029,Maple Leaf,6201.167046,627
001,West Humber-Clairville,5586.575408,1861
101,Forest Hill South,810.6597093,87
112,Beechborough-Greenbrook,4682.986164,308
079,University,1892.993296,144
109,Caledonia-Fairbank,3013.561025,300
056,Leaside-Bennington,1099.358213,185
103,Lawrence Park South,935.5029976,142
073,Moss Park,2350.531552,482
031,Yorkdale-Glen Park,5052.688463,748
025,Glenfield-Jane Heights,5559.017415,1695
091,Weston-Pelham Park,3072.625698,341
066,Danforth,1313.883716,127
003,Thistletown-Beaumond Heights,6650.579151,689
088,High Park North,1055.861384,234
058,Old East York,1516.300227,140
139,Scarborough Village,4944.989237,827
021,Humber Summit,5565.399485,691
019,Long Branch,1378.421261,139
046,Pleasant View,1820.710583,288
131,Rouge,4049.810736,1883
018,New Toronto,2128.58763,244
034,Bathurst Manor,3950.10395,627
067,Playter Estates-Danforth,1729.882112,135
054,O'Connor-Parkview,1718.875502,321
017,Mimico (includes Humber Bay Shores),2028.618537,689
064,Woodbine Corridor,813.3322702,102
126,Dorset Park,4267.487901,1067
057,Broadview North,1434.907383,165
121,Oakridge,3257.49368,451
006,Kingsview Village-The Westway,4159.090909,915
127,Bendale,3324.432577,996
107,Oakwood Village,2564.827911,544
045,Parkwoods-Donalda,1781.353254,620
069,Blake-Jones,1358.87149,105
119,Wexford/Maryvale,2604.14801,727
108,Briar Hill-Belgravia,2945.921302,420
027,York University Heights,4943.282717,1364
022,Humbermede,5969.765198,928
041,Bridle Path-Sunnybrook-York Mills,938.9164688,87
128,Agincourt South-Malvern West,2134.107842,507
023,Pelmo Park-Humberlea,4542.063048,487
028,Rustic,3148.576602,313
086,Roncesvalles,1375.717911,206
078,Kensington-Chinatown,1733.073279,311
092,Corso Italia-Davenport,2426.944032,343
063,The Beaches,625.9563222,135
048,Hillcrest Village,1334.593126,226
043,Victoria Village,3021.130782,529
050,Newtonbrook East,938.0629931,151
062,East End-Danforth,1412.469015,302
040,St.Andrew-Windfields,976.8695262,174
132,Malvern,3995.981185,1750
096,Casa Loma,1285.557987,141
134,Highland Creek,3609.732672,451
065,Greenwood-Coxwell,1297.079836,187
039,Bedford Park-Nortown,2216.388363,515
013,Etobicoke West Mall,3241.053342,384
033,Clanton Park,2234.09422,368
105,Lawrence Park North,944.7525159,138
035,Westminster-Branson,4483.519829,1178
113,Weston,5491.32948,988
094,Wychwood,1693.497805,243
095,Annex,1821.398152,556
037,Willowdale West,1287.198866,218
076,Bay Street Corridor,1066.015428,275
